epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,1377.37,0.4651,0.82274,0.64708,0.95763,0,0.84391,0.80871,0.85521,0.74456,0.83766,0.79148,0.82688,0.74688,0.49245,1.30466,0.72236,0.98501,0,0.000176018,0.000176018,0.000176018
62,1401.43,0.4746,0.88206,0.63416,0.95418,0,0.85217,0.81101,0.85505,0.75023,0.84426,0.78689,0.81376,0.7462,0.49562,1.23273,0.72896,0.98714,0,0.000168662,0.000168662,0.000168662
63,1426.01,0.43538,0.87407,0.61402,0.9321,0,0.87034,0.79154,0.84864,0.74003,0.77552,0.83634,0.81129,0.72984,0.4751,1.07954,0.6731,0.96888,0,0.000161389,0.000161389,0.000161389
64,1449.13,0.46217,0.8267,0.62107,0.9496,0,0.86025,0.79664,0.86883,0.76714,0.84409,0.7844,0.83771,0.74465,0.47623,1.04977,0.67081,0.97043,0,0.000154206,0.000154206,0.000154206
65,1471,0.45654,0.84369,0.61143,0.95717,0,0.81538,0.80093,0.85744,0.76374,0.87753,0.73609,0.83339,0.73967,0.46145,1.08497,0.67869,0.97097,0,0.00014712,0.00014712,0.00014712
66,1492.11,0.44025,0.82781,0.61861,0.93844,0,0.87713,0.75813,0.84644,0.75888,0.84638,0.74941,0.81624,0.7351,0.4751,1.16421,0.66525,0.98121,0,0.000140137,0.000140137,0.000140137
67,1516.14,0.43134,0.81948,0.56474,0.93353,0,0.86334,0.7847,0.84357,0.7627,0.83898,0.76555,0.81247,0.72538,0.45123,1.15517,0.66337,0.95627,0,0.000133266,0.000133266,0.000133266
68,1539.02,0.45829,0.86587,0.63351,0.96221,0,0.91674,0.7608,0.84923,0.75886,0.88524,0.74206,0.81336,0.73592,0.4565,1.23559,0.65503,0.96161,0,0.000126512,0.000126512,0.000126512
69,1562.7,0.45048,0.81921,0.6247,0.9461,0,0.89702,0.7683,0.85878,0.77076,0.86842,0.74982,0.82145,0.74628,0.45594,1.30589,0.66204,0.96433,0,0.000119883,0.000119883,0.000119883
70,1591.79,0.42268,0.77165,0.56864,0.94019,0,0.8691,0.80386,0.86984,0.78723,0.85116,0.77963,0.83333,0.75787,0.43442,1.27054,0.6279,0.95248,0,0.000113384,0.000113384,0.000113384
71,1618.46,0.44598,0.83136,0.63187,0.95716,0,0.88042,0.80851,0.86479,0.78029,0.85935,0.78931,0.83174,0.75256,0.42748,1.34491,0.63945,0.94509,0,0.000107023,0.000107023,0.000107023
72,1641.59,0.42464,0.80118,0.60011,0.94046,0,0.85455,0.80826,0.85652,0.77231,0.83423,0.80003,0.82021,0.73823,0.42454,1.26173,0.64679,0.94612,0,0.000100806,0.000100806,0.000100806
73,1665.35,0.41461,0.76123,0.56807,0.92571,0,0.86467,0.79858,0.85073,0.76799,0.84158,0.77924,0.81011,0.72877,0.41163,1.27945,0.64878,0.9316,0,9.47376e-05,9.47376e-05,9.47376e-05
74,1687.48,0.40875,0.71731,0.53332,0.92207,0,0.87334,0.81765,0.86045,0.78547,0.84409,0.79084,0.82232,0.74526,0.40566,1.25127,0.62866,0.9356,0,8.88253e-05,8.88253e-05,8.88253e-05
75,1710.34,0.3993,0.77449,0.55714,0.92976,0,0.85402,0.84494,0.86466,0.7842,0.82487,0.81871,0.83099,0.75431,0.41735,1.22337,0.61044,0.94713,0,8.30746e-05,8.30746e-05,8.30746e-05
76,1730.3,0.42432,0.81951,0.57604,0.93171,0,0.85415,0.84422,0.86155,0.78293,0.8301,0.81499,0.82741,0.7527,0.41887,1.21181,0.62774,0.95,0,7.74911e-05,7.74911e-05,7.74911e-05
77,1750.26,0.40866,0.74947,0.54121,0.93712,0,0.84796,0.8385,0.86144,0.77895,0.81463,0.80806,0.82128,0.74612,0.41217,1.2302,0.62896,0.93837,0,7.20803e-05,7.20803e-05,7.20803e-05
78,1770.17,0.39249,0.74421,0.50517,0.92178,0,0.86679,0.842,0.87058,0.78748,0.84956,0.82112,0.8357,0.75127,0.41478,1.29111,0.61119,0.94067,0,6.68475e-05,6.68475e-05,6.68475e-05
79,1789.81,0.40342,0.80329,0.53625,0.9274,0,0.84979,0.84182,0.877,0.79548,0.82835,0.82379,0.84188,0.75228,0.40368,1.34153,0.59544,0.93853,0,6.1798e-05,6.1798e-05,6.1798e-05
80,1809.62,0.4051,0.74743,0.55048,0.9263,0,0.86434,0.83201,0.87781,0.80522,0.84302,0.81292,0.84444,0.75614,0.39102,1.28211,0.57984,0.93001,0,5.69366e-05,5.69366e-05,5.69366e-05
81,1829.58,0.40486,0.74703,0.50664,0.92611,0,0.85371,0.83722,0.87306,0.79776,0.82738,0.82368,0.83843,0.75772,0.38406,1.28948,0.59528,0.92523,0,5.22683e-05,5.22683e-05,5.22683e-05
82,1849.83,0.41086,0.7928,0.55501,0.93761,0,0.89504,0.79771,0.86615,0.79025,0.84487,0.80038,0.83357,0.75669,0.38907,1.34179,0.6103,0.92831,0,4.77976e-05,4.77976e-05,4.77976e-05
83,1869.63,0.38402,0.70916,0.49407,0.91236,0,0.88964,0.81305,0.86961,0.78821,0.85955,0.79573,0.83352,0.7545,0.39289,1.36192,0.60824,0.93077,0,4.35288e-05,4.35288e-05,4.35288e-05
84,1889.54,0.41394,0.77222,0.50578,0.92986,0,0.91442,0.79169,0.87404,0.79246,0.84106,0.81137,0.83835,0.75601,0.39269,1.33773,0.59692,0.9304,0,3.94663e-05,3.94663e-05,3.94663e-05
85,1909.37,0.41911,0.82117,0.51312,0.93445,0,0.91125,0.81107,0.87406,0.79217,0.87856,0.79479,0.83921,0.75358,0.39082,1.31244,0.59505,0.92815,0,3.56141e-05,3.56141e-05,3.56141e-05
86,1929.39,0.41441,0.79343,0.52979,0.93204,0,0.91743,0.8047,0.87801,0.79878,0.88832,0.78786,0.8424,0.76064,0.38218,1.3036,0.5817,0.9225,0,3.19759e-05,3.19759e-05,3.19759e-05
87,1949.29,0.39746,0.81523,0.54504,0.93212,0,0.88353,0.83936,0.87724,0.79988,0.86236,0.82023,0.84323,0.76407,0.38744,1.24996,0.58668,0.92718,0,2.85553e-05,2.85553e-05,2.85553e-05
88,1969.19,0.3967,0.8093,0.53952,0.91749,0,0.86427,0.84835,0.87505,0.79928,0.84285,0.82913,0.84106,0.76396,0.38679,1.24681,0.58403,0.92413,0,2.53557e-05,2.53557e-05,2.53557e-05
89,1989.24,0.4049,0.83899,0.53287,0.92841,0,0.86387,0.84137,0.87301,0.80082,0.84156,0.82405,0.84127,0.76621,0.38212,1.19596,0.58981,0.92347,0,2.23803e-05,2.23803e-05,2.23803e-05
90,2008.65,0.39259,0.73322,0.50074,0.91402,0,0.8728,0.83949,0.87369,0.80089,0.85195,0.82039,0.83838,0.7621,0.38173,1.15739,0.5853,0.92383,0,1.9632e-05,1.9632e-05,1.9632e-05
